Location,region,measureid,fractionid,2020-11-06,2020-11-08,2020-11-12,2020-11-15,2020-11-19,2020-11-22,2020-11-26,2020-11-29,2020-12-01,2020-12-03,2020-12-06,2020-12-08,2020-12-10,2020-12-13,2020-12-15,2020-12-17,2020-12-20,2020-12-21,2020-12-22,2020-12-28,2020-12-29,2021-01-03,2021-01-05,2021-01-07,2021-01-10,2021-01-12,2021-01-14,2021-01-17,2021-01-19,2021-01-21,2021-01-24,2021-01-26,2021-01-28,2021-01-31,2021-02-02,2021-02-04,2021-02-07,2021-02-09,2021-02-11,2021-02-14,2021-02-16,2021-02-18,2021-02-21,2021-02-23,2021-02-25,2021-02-28,2021-03-02,2021-03-04,2021-03-07,2021-03-09,2021-03-11,2021-03-14,2021-03-16,2021-03-18,2021-03-21,2021-03-23,2021-03-25,2021-03-28,2021-03-30,2021-04-01,2021-04-04,2021-04-08,2021-04-11,2021-04-15,2021-04-18,2021-04-22,2021-04-25,2021-04-29,2021-05-02,2021-05-06,2021-05-09,2021-05-13,2021-05-16,2021-05-20,2021-05-23,2021-05-27,2021-05-30,2021-06-03,2021-06-06,2021-06-10,2021-06-13,2021-06-20,2021-06-24,2021-06-27,2021-07-01,2021-07-04,2021-07-08,2021-07-11,2021-07-15,2021-07-18,2021-07-22,2021-07-25,2021-08-01,2021-08-05,2021-08-08,2021-08-12,2021-08-15,2021-08-19,2021-08-22,2021-08-26,2021-08-29,2021-09-02,2021-09-05,2021-09-09,2021-09-12,2021-09-16,2021-09-19,2021-09-23,2021-09-26,2021-09-30,2021-10-03,2021-10-07,2021-10-10,2021-10-14,2021-10-17,2021-10-21,2021-10-24,2021-10-28,2021-10-31,2021-11-04,2021-11-07,2021-11-11,2021-11-14,2021-11-18,2021-11-21,2021-11-25,2021-11-28,2021-12-02,2021-12-05,2021-12-09,2021-12-12,2021-12-16,2021-12-19,2021-12-23,2021-12-26,2021-12-30,2022-01-02,2022-01-06,2022-01-09,2022-01-13,2022-01-16,2022-01-20,2022-01-23,2022-01-27,2022-01-30,2022-02-03,2022-02-06,2022-02-10,2022-02-13,2022-02-17,2022-02-20,2022-02-24,2022-02-27,2022-03-06,2022-03-10,2022-03-13,2022-03-17,2022-03-20,2022-03-24,2022-03-27,2022-03-31,2022-04-03,2022-04-07,2022-04-10,2022-04-14,2022-04-17,2022-04-21,2022-04-24,2022-04-28,2022-05-01,2022-05-05,2022-05-08,2022-05-12,2022-05-15,2022-05-19,2022-05-22,2022-05-26,2022-05-29,2022-06-02,2022-06-05,2022-06-09,2022-06-12,2022-06-16,2022-06-19,2022-06-23,2022-06-26,2022-06-30,2022-07-07,2022-07-10,2022-07-14,2022-07-17,2022-07-21,2022-07-24,2022-07-28,2022-07-31,2022-08-04,2022-08-07,2022-08-11,2022-08-14,2022-08-18,2022-08-21,2022-08-25,2022-08-28,2022-09-01,2022-09-04,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-09,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-31,2022-11-03,2022-11-06,2022-11-13,2022-11-17,2022-11-20,2022-11-24,2022-11-27,2022-12-01,2022-12-04,2022-12-08,2022-12-11,2022-12-15,2022-12-18,2022-12-22,2022-12-25,2022-12-29,2023-01-01,2023-01-05,2023-01-08,2023-01-12,2023-01-15,2023-01-19,2023-01-22,2023-01-26,2023-01-29,2023-02-02,2023-02-05,2023-02-09,2023-02-12,2023-02-16,2023-02-19,2023-02-26,2023-03-02,2023-03-09,2023-03-12,2021-06-17,2021-07-29,2022-02-28,2022-03-03,2022-03-04,2022-03-08,2022-03-12,2022-03-16,2022-03-28,2022-04-01,2022-04-04,2022-04-08,2022-04-12,2022-04-16,2022-04-20,2022-05-02,2022-05-06,2022-05-10,2022-05-14,2022-05-18,2022-05-30,2022-07-03,2022-10-30,2022-11-10,2023-02-23,2023-03-05,2021-03-31,2022-03-11,2022-03-14,2022-03-18,2022-03-21,2022-04-11,2022-04-15,2022-04-18,2022-04-22,2022-04-25,2022-05-09,2022-05-13,2022-05-16,2022-05-20,2022-05-23
Vancouver Annacis Island,Vancouver,covN2,solid,15.76413,17.107665,48.847155,55.98564,43.199405,24.940425,26.15136,40.541625,44.195,50.5286,42.80409,10.15521,30.116615,23.34917,55.146415,27.477185,7.842085,11.03052,8.978175,74.32124,32.09257,30.32077,27.86934,14.19149,21.69726,9.82309,29.89802,20.975285,12.411365,21.40881,22.99489,15.9915,18.23782,11.957445,16.549735,13.29925,14.81408,45.16956,20.460265,22.932435,23.93815,31.733525,12.761055,33.592055,21.048855,18.87158,15.57728,28.249035,27.610555,58.810105,73.861175,71.14954,38.38887,80.35121,48.310285,51.276825,51.1119,25.795835,54.12603,221.659515,41.6479,61.099565,66.909535,137.106635,42.740325,59.289985,64.02934,60.42737,34.469125,50.9078,58.987675,51.325405,39.64981,30.82475,39.586815,16.226235,19.2902,13.124145,7.41873,17.18651,14.213035,3.84662,8.2868,3.85432,3.45332,3,3,3,3,4.4985,11.32306,4.36309,4.79543,19.114595,17.181365,14.69976,20.2758,13.568125,19.59855,30.008945,22.242765,30.48495,43.9109,42.038645,105.088395,30.155895,53.96741,29.26253,19.745185,22.324055,24.57884,32.55063,30.98768,35.115425,26.258445,34.708785,22.596345,36.118745,31.4677,14.277815,7.629645,11.116265,7.46864,12.861465,9.34566,12.20544,3,11.25139,26.18809,8.1637,14.598355,17.1822,19.21992,113.853565,99.45868,212.43802,193.65433,594.918675,478.24841,809.98523,244.185915,281.418375,251.760135,232.049585,103.16401,73.14116,210.43313,98.928105,35.90864,118.924085,20.92927,57.924995,25.72936,30.6038,19.15811,11.21383,10.076685,33.615575,12.746815,14.824585,65.095345,10.670485,28.097575,198.580685,75.752365,360.197525,184.04101,176.267975,291.922485,232.897385,91.66418,450.914265,134.07828,192.78429,72.275495,69.048325,209.50416,247.93365,226.531795,754.48074,20.34616,57.11041,63.092045,36.45428,56.679555,28.351575,190.568585,85.41219,66.420045,279.942115,428.055275,141.041225,240.411525,61.43689,63.587785,33.508525,68.31977,40.42658,32.782655,109.48327,38.880905,110.98644,98.11151,75.41692,98.65298,58.968245,98.40683,92.2085225,107.021405,134.4245,68.14176,51.651355,57.45758,50.5523475,13.380865,19.239825,30.133545,18.744925,21.216925,80.649055,30.593955,82.16262,32.52694,39.09391,80.218595,71.6473325,38.964585,40.06953,28.49977,194.5518,30.156825,83.594815,88.06371,68.449025,57.167935,62.14252,93.86989,103.419785,52.286845,59.73376,52.24078,63.839325,64.63813,33.374815,104.77413,144.784415,30.031565,35.51292,80.74768,31.4171,28.25826,28.289475,20.40981,51.420725,55.88821,32.694685,58.66524,198.73017,28.848785,103.412065,75.064885,96.79737,178.707165,40.044785,87.961825,33.104095,49.536205,31.295535,43.88889,55.47628,32.624875,31.482175,32.851275,33.794425,86.18189,96.49321,76.45411,96.23342,36.5193,39.778785,19.585735,17.03806,80.600885,126.25115,48.6136,157.62107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Iona Island,Vancouver,covN2,solid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67658,6.648565,8.875415,13.799865,6.790165,15.863745,10.799705,8.798225,11.9401,4.0518,11.154115,25.83354,8.99486,34.7772,16.713725,13.44859,16.668665,8.94585,9.36567,12.982255,13.833785,14.40739,21.890445,21.84325,20.47645,39.77109,27.63098,15.34075,89.54868,68.582175,28.38045,23.847475,35.010175,27.03298,18.527725,80.15806,16.059575,20.869145,45.214785,10.419035,10.40608,7.59258,3,10.021765,6.67861,6.206735,6.05473,4.33657,3,NA,3,3,6.17039,3,8.48719,5.62515,5.11799,36.24043,8.084485,29.412665,NA,40.05336,21.01579,46.85415,26.582875,48.965205,26.249785,30.860325,87.860405,23.8899,64.2162,27.316135,55.542665,59.151855,13.783795,18.84308,33.56596,18.554115,7.31633,7.352045,14.187715,7.442375,19.49403,3,3,4.12523,3,4.24895,5.55072,1,1,3.74543,3,17.591315,6.68101,11.28546,28.800715,62.64115,122.833445,116.27278,121.92585,372.711215,78.363485,91.509145,83.016705,52.49167,69.81264,142.1631,12.68146,15.457635,24.113845,23.350085,15.360135,22.41736,5.31986,18.84095,19.37486,15.382375,28.894675,9.941545,4.00997,40.1391325,14.91996,7.990795,13.44944,3.81567,21.183105,24.417615,80.48144,40.850295,128.907795,97.20141,116.9988375,694.139925,57.76179,39.76529,53.90699,27.8451,211.199675,87.4295825,482.9463125,129.337185,198.93658,41.78005,11.15995,83.92556,96.78497,114.185495,46.77021,58.902165,211.49506,85.123905,97.642815,325.396265,208.03656,294.385215,112.033225,53.564855,48.351985,48.206775,22.716245,252.48145,22.401975,51.46327,40.7437,56.859595,220.987665,57.92145,37.705315,NA,NA,87.399705,NA,195.21245,NA,NA,NA,61.58313,NA,55.66754,NA,NA,NA,41.604945,NA,35.18785,NA,NA,NA,32.206185,NA,199.179765,NA,NA,NA,119.669545,NA,184.796665,NA,NA,56.820455,NA,69.486925,NA,NA,NA,46.8216,NA,27.445625,NA,NA,NA,5.334,NA,NA,10.263125,8.94378,241.15855,65.719335,44.502005,153.169955,71.66549,32.493075,25.379195,18.880355,556.146655,66.900465,115.98498,138.301995,5.75822,NA,21.02888,102.84246,125.180665,27.30762,79.38369,18.70376,61.77959,73.163805,27.489945,34.38394,49.347315,30.018505,14.07742,30.40106,14.37785,336.85046,4.850945,41.67209,22.05668,4.5182,9.3546,3,57.251235,112.13958,22.697175,45.42396,21.96727,11.583855,28.535035,69.365285,44.777305,34.25704,69.46969,59.193285,113.719165,246.53046,64.34907,131.606525,69.877975,115.61052,197.45547,8.960035,45.19693,39.17708,20.14523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Lions Gate,Vancouver,covN2,solid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.677755,20.474925,11.169755,10.498375,15.78602,18.467755,4.54025,4.50496,17.564625,5.859025,25.223515,5.91036,10.72197,7.05629,11.988905,23.7376,32.65617,19.24422,29.279255,20.07685,25.61999,16.87027,16.266735,86.39608,25.247675,30.20453,229.50657,15.97256,21.550145,25.14783,26.1529,18.719745,19.42616,15.85082,23.125065,19.88863,12.905135,13.567975,9.96873,17.138835,12.40507,8.31733,5.62217,9.89562,6.5603,3.91537,4.44752,3,NA,3,3,3,3,6.0966,3,6.601125,6.32055,27.211785,71.50353,44.95045,21.528655,15.28648,15.91923,41.60553,23.89628,52.76288,34.28387,57.530945,102.49667,46.86786,20.928615,17.72021,13.88092,7.17678,97.615615,92.703405,17.20374,16.851605,31.50938,39.34008,9.6581,26.75862,8.080845,3.86952,7.307005,3.91153,6.613205,4.97159,8.87167,7.19029,3,6.0352,7.477575,10.43798,12.19555,42.89598,24.55881,117.90276,164.737085,84.93342,119.551425,188.266245,237.77204,44.517745,157.618855,141.59518,143.70491,145.70776,27.978255,177.01658,43.82966,31.37656,18.262005,70.41499,65.3683,53.560565,11.830735,7.539445,26.082205,17.50866,9.62222,10.684765,9.61724,13.21308,32.766205,31.441635,266.356855,32.272215,464.152965,104.053315,157.235625,93.758645,223.869665,242.584045,111.53015,112.59088,97.575215,58.471455,90.976615,60.74251,151.183295,70.132755,118.327045,95.390605,38.926715,12.078275,40.60482,47.64772,64.691175,53.068205,290.987595,145.414205,175.656715,151.036825,150.900715,257.63929,181.26659,63.192625,333.857555,40.512015,41.75897,236.83505,25.6757,31.97707,75.887835,132.315555,132.46818,112.69639,54.74095,NA,NA,78.824135,NA,73.372485,NA,NA,NA,97.5027,NA,82.50823,NA,NA,NA,191.37043,NA,40.818395,NA,NA,NA,52.630175,NA,34.3946,NA,NA,NA,186.18284,NA,193.614215,NA,NA,75.514515,NA,185.924475,NA,NA,NA,68.398925,NA,76.232245,NA,NA,NA,32.332,NA,NA,14.2651,22.071185,48.827805,36.69298,124.515655,80.4358,44.787335,42.49853,53.07767,25.44445,36.354905,88.1217,50.68374,78.735635,7.7691,32.856995,75.608335,62.57654,41.56606,52.3925,26.890145,12.41709,15.17137,37.15822,39.54049,79.108845,25.982095,200.63941,452.3863,24.275055,22.850175,36.76469,11.011765,24.340275,32.09969,3,8.30899,NA,7.1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.45244,31.70233,149.117815,58.725435,26.869955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Lulu Island,Vancouver,covN2,solid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.543265,6.001515,7.38984,5.625705,9.629485,6.87791,3,21.557255,9.271805,14.578635,7.238635,16.798925,5.79474,9.757385,13.19826,12.262595,40.67152,174.813395,28.26483,22.74328,26.706235,22.75595,NA,49.623905,40.262745,51.341375,37.940095,35.115355,29.992965,35.71763,185.73816,18.09722,43.557715,38.38927,20.98502,15.32043,8.602895,11.694465,8.829335,6.021955,4.93005,3,5.29759,8.02406,10.182555,7.65122,3.56225,6.256265,3,4.157405,3,8.74542,3,1,60.16644,11.50933,5.08885,16.50078,7.92427,4.7816,6.903445,21.05357,10.2957,20.28943,4.50059,28.44668,20.27062,6.7467,16.453015,13.90974,16.19516,15.29714,8.3254,15.355305,6.092355,13.919335,42.482015,12.68935,17.275035,9.344825,11.887905,6.68475,11.16112,8.997805,10.316735,NA,3,32.25585,8.53065,9.37464,5.860245,11.932745,133.090355,12.079955,25.658545,11.95748,92.712685,135.9224,298.01526,115.596825,678.44501,342.0148,833.23686,493.21083,239.955885,421.10544,258.002885,191.950015,270.540615,131.94331,126.587715,47.391395,68.057445,40.851405,148.34606,46.63082,12.494605,38.25472,NA,NA,NA,NA,43.4444,54.571475,32.799635,27.255225,NA,NA,NA,NA,NA,NA,316.92991,234.3355,NA,NA,NA,NA,NA,NA,698.442295,249.40124,1969.10282,355.902095,38.311475,57.53929,151.473785,79.68087,249.06223,113.051065,170.075525,252.726475,470.37661,390.597415,405.239175,459.031405,329.433545,62.1258,121.66012,63.149475,46.93772,38.421565,51.50977,102.915165,59.134335,217.95954,111.763405,620.8709,86.88493,NA,NA,85.800705,NA,726.55934,NA,NA,NA,96.662305,NA,54.278665,NA,NA,NA,78.561675,NA,38.588875,NA,NA,NA,79.98674,NA,158.68958,NA,NA,NA,214.740305,NA,131.419535,NA,NA,68.899405,NA,212.84938,NA,NA,NA,96.227935,NA,95.015845,NA,NA,NA,249.04846,NA,NA,74.18213,73.166285,143.96448,NA,90.025955,114.50397,165.944475,97.416355,114.0963,197.36245,433.13724,51.15731,296.78805,487.457505,80.657895,343.044155,339.46085,90.54333,121.769145,127.00633,34.48751,55.194135,12.400195,101.471705,59.49409,122.486625,84.018985,30.98125,213.528865,82.318555,94.603605,66.069015,90.506395,149.38554,129.239695,7.81176,4.61036,NA,15.0922,NA,NA,NA,NA,NA,NA,NA,495.2907,NA,NA,NA,NA,174.48319,NA,NA,NA,NA,153.45178,172.81933,97.144505,104.1773,36.0122,60.77334,145.880575,61.750575,8.349395,11.875335,44.419795,132.1697,88.94257,984.755595,175.50631,280.311965,489.601,133.621845,139.310185,238.273945
Vancouver Northwest Langley,Vancouver,covN2,solid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13154,12.95689,20.77402,9.071425,10.683405,34.17132,9.50451,18.5202,63.68805,21.892495,NA,19.25825,11.76711,8.508665,18.975965,22.63123,15.148055,7.3579,11.87844,23.07854,44.673055,22.57017,12.670015,16.180725,31.585415,32.27583,22.62957,104.49883,38.29445,1,34.88053,53.37235,22.55796,28.122535,11.13345,9.935725,9.557175,38.48601,3.79306,21.698325,4.30972,3,3,3,3,34.906165,8.02286,3,3,3,3,3,5.50732,1,10.719865,3,61.06137,25.31751,13.13583,25.98848,13.047105,12.636175,13.407935,43.432855000000004,16.249435,28.65722,116.226525,57.099385,26.176025,36.17222,19.852505,13.628205,81.922965,13.430455,8.39667,40.470605,17.02647,8.323735,14.27822,48.99019,53.937155,95.510295,33.155855,9.56418,10.534265,14.73036,9.964045,12.520985,9.20112,6.770165,6.08239,35.246365,3,48.684595,44.770775,28.1319,28.78687,73.155385,97.681235,82.17749,65.547125,158.387095,110.486425,159.64288,115.186015,312.57612,246.91579,99.720235,75.095485,219.93596,44.67598,83.426945,22.462895,47.979985,29.314805,48.711845,82.776565,163.9148,NA,NA,NA,NA,30.66232,13.90607,32.632695,38.811805,NA,NA,NA,NA,NA,NA,174.01778,671.533305,NA,NA,NA,NA,NA,NA,258.023645,77.71691,448.40974,155.55505,73.173875,13.580015,34.201215,17.53484,42.563065,29.471205,98.87907,142.197415,63.453735,390.940055,175.980335,133.948905,106.197795,52.451825,58.435475,26.72418,31.10048,58.767685,36.325385,32.343505,28.675325,35.941565,68.011715,3,46.45647,NA,NA,69.648405,NA,52.30433,NA,NA,NA,22.209935,NA,89.44326,NA,NA,NA,52.421665,NA,158.700295,NA,NA,NA,42.73394,NA,16.96907,NA,NA,NA,370.4529,NA,53.139555,NA,NA,279.640505,NA,21.47612,NA,NA,NA,79.97831,NA,23.258395,NA,NA,NA,49.991435,NA,NA,122.82759,39.69454,53.217955,63.404795,84.982185,60.860735,23.89,47.931175,52.757355,64.88343,59.932555,77.590015,36.64276,171.99189,68.637235,198.029585,82.11189,76.012415,197.39663,29.601615,17.440605,99.07094,68.773445,57.71223,87.365715,57.50808,285.06516,53.10265,49.261675,73.954625,48.013245,89.037475,25.08212,48.44597,NA,3,25.58602,NA,10.10254,NA,NA,NA,NA,NA,NA,NA,119.96834,NA,NA,NA,NA,175.37603,NA,NA,NA,NA,107.519815,375.48603,151.74455,80.966815,46.522385,NA,672.684245,8.126785,13.149875,20.72467,46.63429,68.296245,550.68848,139.306985,88.794195,264.581485,240.63565,43.79268,53.11567,37.123315
