Location,region,measureid,fractionid,2021-08-04,2021-08-06,2021-08-10,2021-08-12,2021-08-17,2021-08-20,2021-08-28,2021-08-30,2021-09-01,2021-09-03,2021-09-07,2021-09-09,2021-09-14,2021-09-16,2021-09-23,2021-09-25,2021-09-27,2021-09-29,2021-10-01,2021-10-03,2021-10-05,2021-10-07,2021-10-09,2021-10-12,2021-10-14,2021-10-16,2021-10-19,2021-10-21,2021-10-22,2021-10-25,2021-10-27,2021-10-29,2021-11-02,2021-11-04,2021-11-06,2021-11-10,2021-11-12,2021-11-15,2021-11-17,2021-11-19,2021-11-21,2021-11-22,2021-11-24,2021-11-26,2021-11-29,2021-12-01,2021-12-04,2021-12-07,2021-12-09,2021-12-11,2021-12-15,2021-12-17,2021-12-19,2021-12-29,2022-01-01,2022-01-03,2022-01-05,2022-01-07,2022-01-09,2022-01-10,2022-01-12,2022-01-14,2022-01-17,2022-01-19,2022-01-21,2022-01-24,2022-01-26,2022-01-28,2022-01-31,2022-02-02,2022-02-04,2022-02-07,2022-02-09,2022-02-11,2022-02-14,2022-02-16,2022-02-22,2022-02-23,2022-02-25,2022-02-26,2022-02-28,2022-03-02,2022-03-05,2022-03-07,2022-03-09,2022-03-11,2022-03-14,2022-03-16,2022-03-18,2022-03-21,2022-03-23,2022-03-25,2022-03-28,2022-03-30,2022-04-01,2022-04-04,2022-04-06,2022-04-09,2022-04-14,2022-04-15,2022-04-17,2022-04-18,2022-04-20,2022-04-22,2022-04-25,2022-04-27,2022-04-29,2022-05-04,2022-05-06,2022-05-08,2022-05-09,2022-05-11,2022-05-13,2022-05-17,2022-05-19,2022-05-22,2022-05-23,2022-05-25,2022-05-27,2022-05-30,2022-06-01,2022-06-03,2022-06-06,2022-06-08,2022-06-10,2022-06-13,2022-06-15,2022-06-17,2022-06-20,2022-06-23,2022-06-24,2022-06-27,2022-06-29,2022-07-01,2022-07-05,2022-07-06,2022-07-08,2022-07-15,2022-07-18,2022-07-22,2022-07-25,2022-07-27,2022-07-29,2022-08-01,2022-08-04,2022-08-06,2022-08-08,2022-08-10,2022-08-12,2022-08-15,2022-08-17,2022-08-19,2022-08-22,2022-08-24,2022-08-26,2022-08-29,2022-09-02,2022-09-12,2022-09-14,2022-09-16,2022-09-19,2022-09-21,2022-09-23,2022-09-26,2022-09-28,2022-09-30,2022-10-03,2022-10-05,2022-10-07,2022-10-08,2022-10-10,2022-10-12,2022-10-14,2022-10-17,2022-10-19,2022-10-21,2022-10-24,2022-10-26,2022-10-30,2022-10-31,2022-11-02,2022-11-04,2022-11-09,2022-11-11,2022-11-14,2022-11-16,2022-11-18,2022-11-21,2022-11-23,2022-11-25,2022-11-28,2022-12-01,2022-12-02,2022-12-07,2022-12-12,2022-12-14,2022-12-16,2023-01-02,2023-01-04,2023-01-06,2023-01-09,2023-01-11,2023-01-13,2023-01-16,2023-01-18,2023-01-20,2023-01-23,2023-01-26,2023-01-28,2023-01-30,2023-02-01,2023-02-03,2023-02-05,2023-02-08,2023-02-13,2023-02-15,2023-02-17,2023-02-21,2023-02-22,2023-02-25,2023-02-27,2021-06-24,2021-06-28,2021-06-29,2021-07-04,2021-07-07,2021-07-12,2021-07-14,2021-07-19,2021-07-21,2021-07-26,2021-07-28,2021-08-02,2021-08-09,2021-08-11,2021-08-23,2021-09-06,2021-09-10,2021-09-13,2021-09-22,2021-09-24,2021-09-26,2021-10-04,2021-10-06,2021-10-08,2021-10-11,2021-10-13,2021-10-15,2021-10-18,2021-10-20,2021-10-31,2021-11-01,2021-11-03,2021-11-05,2021-11-08,2021-11-28,2021-12-03,2021-12-06,2021-12-08,2021-12-10,2021-12-13,2021-12-21,2021-12-31,2022-01-02,2022-01-04,2022-02-18,2022-02-21,2022-03-04,2022-04-08,2022-04-11,2022-05-02,2022-05-16,2022-05-18,2022-05-20,2022-06-19,2022-06-22,2022-07-04,2022-07-11,2022-07-20,2022-08-03,2022-08-05,2022-08-31,2022-09-05,2022-10-28,2022-11-07,2022-11-30,2022-12-03,2022-12-05,2022-12-09,2022-12-19,2022-12-21,2022-12-23,2022-12-26,2022-12-28,2022-12-30,2023-01-01,2023-01-25,2023-01-27,2023-02-06,2023-02-10,2023-02-24,2021-03-27,2021-03-31,2021-04-03,2021-04-05,2021-04-07,2021-04-12,2021-04-15,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-23,2021-04-25,2021-04-28,2021-04-30,2021-05-02,2021-05-04,2021-05-05,2021-05-07,2021-05-09,2021-05-11,2021-05-12,2021-05-14,2021-05-16,2021-05-19,2021-05-23,2021-05-26,2021-05-29,2021-05-30,2021-06-02,2021-06-04,2021-06-06,2021-06-09,2021-06-11,2021-06-13,2021-06-16,2021-06-23,2021-06-25,2021-06-27,2021-06-30,2021-07-02,2021-07-09,2021-07-11,2021-07-16,2021-07-18,2021-07-23,2021-07-25,2021-07-30,2021-08-01,2021-08-08,2021-08-13,2021-08-15,2021-08-19,2021-08-21,2021-08-22,2021-08-25,2021-08-27,2021-08-29,2021-09-02,2021-09-05,2021-09-08,2021-09-12,2021-09-15,2021-09-17,2021-09-19,2021-10-10,2021-10-17,2021-10-24,2021-11-07,2021-11-14,2021-12-05,2021-12-12,2021-12-22,2021-12-25,2021-12-26,2021-12-30,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-10,2022-04-13,2022-04-24,2022-05-01,2022-05-15,2022-05-29,2022-06-05,2022-06-12,2022-06-26,2022-07-03,2022-07-07,2022-07-10,2022-07-13,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-07,2022-09-18,2022-09-25,2022-10-02,2022-10-04,2022-10-09,2022-10-16,2022-10-23,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-11,2022-12-18,2022-12-24,2023-01-08,2023-01-22,2023-01-29,2023-02-12,2023-02-19,2023-02-26,2023-03-01,2021-04-13,2021-04-27,2021-05-18,2021-05-25,2021-06-01,2021-06-08,2021-06-15,2021-06-20,2021-06-22,2021-07-05,2021-08-16,2021-08-18,2021-09-20,2021-12-20,2022-02-01,2022-02-08,2022-02-15,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-03,2022-04-12,2022-04-19,2022-04-26,2022-05-03,2022-05-10,2022-05-24,2022-05-31,2022-06-07,2022-06-14,2022-06-21,2022-06-28,2022-07-26,2022-08-02,2022-08-16,2022-08-23,2022-08-30,2022-09-06,2022-09-11,2022-09-27,2022-10-18,2022-10-25,2022-11-15,2022-11-22,2022-11-29,2022-12-06,2022-12-13,2022-12-20,2022-12-27,2023-03-06,2023-03-08
North Battleford,North Battleford,covN2,mixed,0.9,0,0.7,2.3,3.1,25.7,12.4,11.4,103.9,19.5,16.9,19,35,79.2,16,16.2,21.4,31.3,54.7,48.9,95,33.1,54.1,12.7,28.9,49.1,6.9,3.8,6.7,8.2,19.6,15.6,3.7,4.9,2.6,1.5,3.6,2.9,8.9,2.4,1.7,0,0,0,1.8,3.6,1.1,0.4,4.1,2.2,0.5,2.5,0.9,8.8,18.3,23.8,6.4,6.7,18.5,71.1,106.3,43.5,5.5,150.6,126.8,97.1,118.7,32.5,60.5,67.4,63.7,4.4,105.3,63.9,61.5,31.5,72.1,27.2,111.3,122.6,62.2,22.9,98.7,122,41.1,36.4,59.4,54.8,43.6,7.6,10,7.6,50.5,29.5,38.6,58.4,14.6,31.9,43.9,54.8,89,43.9,40.6,66.7,47.3,24.8,4.2,27.2,8.2,25.3,7.6,5.3,1.1,15.4,8.3,20.4,9.1,3.5,3.5,1.8,3.7,4.6,2.5,1.6,9.8,4.1,3.9,2.6,3.9,6.5,3.5,2.7,0,14,8.1,3.7,4.5,8.9,7.6,19.3,18.3,4.1,6.6,23.9,22.3,13.3,15,5.3,37.1,30.5,16.5,28.1,11.3,9.4,18.6,20.4,45.5,10.3,35.4,48.3,83.9,33.3,46.5,13.6,39,24.2,19.1,26.6,8.9,29.1,14.7,23.2,15,15.3,17.1,28.7,5.7,30.1,27.5,10.3,11.3,14,6,13.9,18,1.3,5.9,109.4,71.5,17.9,43.5,20.4,23.9,86.7,74.1,11.2,57.8,19.7,26.6,39.2,52.7,24.2,39.7,114.8,24.1,25,20.7,19.8,17.4,4.2,18,47.2,134.1,72.5,86.5,58.6,14,58.3,90.6,48.3,97.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prince Albert,Prince Albert,covN2,mixed,24.2,NA,NA,NA,NA,NA,NA,58.6,NA,16.4,NA,NA,NA,NA,NA,NA,NA,19.3,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,5.5,NA,NA,NA,NA,5.6,3.3,1.5,3.2,NA,5.1,0,0,NA,2.2,NA,NA,NA,NA,0.3,0.4,NA,NA,NA,NA,NA,29.9,NA,236.6,NA,103.3,318.2,263.7,NA,245.5,109.3,367.8,373.8,202.2,163.1,153.6,8.6,220.2,140.5,66.3,NA,38.7,6.6,NA,41.7,47.6,NA,53.6,99.4,61.8,70.4,18.4,17.5,1.6,NA,20.9,28.4,20.3,16,19,34,NA,96.9,12.7,NA,107.1,86.2,68.3,126.5,5.2,34.7,9.2,16.3,NA,5.4,5.1,25.8,NA,NA,NA,16.3,7.5,3.9,20.6,8.7,3.8,2.1,11.9,8.9,10.7,NA,2.1,4.1,NA,1.8,2.3,5.1,7.7,NA,8.1,3.7,NA,NA,NA,4.5,28.2,12.3,8.2,NA,NA,44,11,17.4,55.7,88.1,42.9,81.6,40.7,57.6,36.9,41.1,NA,83.7,97.3,52.3,102.5,65.8,79.5,44.1,37.7,37.3,16.5,18.4,NA,16.3,15.9,10.2,15,31.5,32.9,23.1,2.4,NA,20.5,15.6,44.1,1.3,31,18.9,NA,NA,NA,7.7,7.9,86.9,NA,NA,15.7,83.1,32.6,53.9,NA,34.3,8.7,26.5,15.7,29.9,95.3,23.2,11.4,16.7,NA,NA,21.6,3.7,7,NA,NA,33.6,55.8,138.7,25,9,NA,27.3,1.9,4.4,16.5,5.6,3.6,1.1,1.1,0,5,23.7,6.2,29,21.3,56.9,61.4,27.7,46.9,19.3,51.3,55.7,33.6,11.6,3.4,2.6,3.1,8.5,16.9,14.5,7,9.7,5.5,1,0.2,0.6,1.6,4.4,6.8,1.7,2.7,0.9,2.1,6.1,9.2,33.8,83,124.3,119,89.4,189.3,34.8,14,6.5,11.5,2.8,5.1,0.7,4.5,16.8,19.1,22.5,70,29,25.5,131.6,15.3,17.7,3.8,5.8,80.8,25.7,24.8,19.6,2.2,19.2,35.9,18.4,7.4,52.4,12.6,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saskatoon,Saskatoon,covN2,mixed,8.7,7.7,NA,NA,17.9,NA,NA,NA,NA,25.9,NA,NA,43.9,NA,NA,NA,NA,29.1,25.8,27.4,NA,NA,NA,NA,NA,17.2,NA,NA,18.3,NA,16.9,10,NA,NA,NA,3.2,5.2,NA,0.7,3.5,2.3,NA,1.3,NA,NA,0,NA,NA,NA,NA,4,4.1,4.9,NA,43.9,NA,46.7,98.1,150.5,NA,148.3,195.9,NA,63.9,270.4,NA,103.8,219.1,NA,127.5,25.1,NA,151.1,79,NA,79,NA,59.4,28.9,NA,NA,24.5,NA,NA,41.2,18.7,NA,96.2,21.9,NA,14,NA,9.3,14.9,69,159.4,113.4,146.7,NA,104.6,75.5,NA,185.2,79.4,NA,91.5,79.4,32.7,65.6,72.4,NA,23.9,29,NA,NA,65.7,NA,40.1,10.8,NA,23.1,9.7,NA,25.6,6.1,NA,4.8,19.7,NA,NA,11.3,NA,21.8,20.5,NA,NA,7.4,NA,NA,8.5,NA,35.7,12.7,NA,NA,NA,NA,104.1,14.9,NA,75.5,42.7,NA,119.4,41.5,NA,55.1,NA,NA,105.9,NA,85.6,35.7,NA,53.5,80.1,NA,NA,19,NA,NA,37.8,41,NA,44.5,53.6,NA,70.1,14.5,NA,11.1,39.5,19,43.3,NA,3.6,16.3,NA,29.7,16.5,NA,NA,38.4,52.9,NA,95,95.8,NA,26.5,22.2,NA,163,10.3,NA,16,60.4,NA,NA,NA,NA,78,28.5,63.3,84.4,NA,93.2,69.2,NA,86.3,NA,NA,NA,NA,NA,5.3,2.9,NA,4.1,NA,2.2,NA,1.9,NA,NA,12.2,NA,NA,79.1,NA,44.5,34,18.4,NA,20.3,45,NA,12.1,NA,NA,23,6.3,NA,2.7,3.2,NA,2.3,2,NA,0.2,1,NA,NA,NA,79.4,NA,29.5,NA,33.6,NA,NA,NA,NA,25.4,52.4,8.6,37.3,NA,NA,NA,52,5,73.9,NA,4.4,NA,57.4,58.5,NA,2.8,NA,65.8,65.7,NA,NA,77.3,63.7,10.4,34.9,NA,22,130.8,2.3,4.7,1.4,5.4,3.4,11.9,10.2,8.7,14.6,6.6,22.8,10,5.9,33.7,38.1,29.1,29.6,1,13.4,8.9,2.7,1.2,0.8,5.1,4.8,5.6,7.7,5.4,3.9,14.3,5.2,8.1,6.2,3.3,3.4,2.9,10,1.2,2,2,1.8,3.9,8.4,2.3,5.6,4.5,3.6,7.7,11.4,11.7,15.5,24,24.7,31.4,68.8,22.4,25.4,41.2,43.9,15.8,40.9,44.2,46.8,60.2,29.9,15.2,11.2,10.6,4.7,9.3,0.7,2.8,15.5,30.2,14.7,19.3,123.9,258.1,245.3,12.2,80.2,34.9,50,39.6,24.1,21.2,8.5,183.8,183.3,56.1,55.1,33.4,9.3,16.7,26,10.5,14.1,24.3,14.3,45.6,56.2,51,55.3,43.1,70.3,52.8,64.3,71.5,115.2,61.2,61.4,131.6,21.9,28,35.6,95,19.1,54.5,20.1,5.8,120,48.6,0,27.2,31.6,94.4,84.2,84.1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regina,Regina,covN2,solid,5.20706,NA,NA,NA,NA,NA,NA,11.35476,101.57031,NA,NA,NA,NA,NA,NA,NA,80.178915,128.245515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.040165,104.80165,NA,NA,NA,NA,15.170135,NA,31.78816,NA,NA,NA,11.3503,16.8403,NA,1,NA,NA,NA,NA,NA,25.199855,NA,NA,69.85237,NA,45.492075,89.070395,NA,111.854035,NA,112.90267,NA,210.20017000000001,249.594025,NA,174.974945,112.1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.236745,NA,NA,NA,NA,NA,27.155445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.59283,NA,NA,NA,47.763725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.63586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.382785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.36221,38.18895,NA,NA,NA,NA,72.28588,NA,NA,NA,NA,127.60222,NA,71.067265,NA,NA,36.57444,NA,126.38921,NA,398.587035,NA,59.659505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.97139,NA,22.707485,NA,NA,13.93638,25.75202,NA,15.859645,NA,NA,52.278565,43.130975,NA,NA,42.8437,39.78911,35.206815,NA,NA,41.340065,NA,20.841545,NA,NA,5.709175,NA,8.36873,9.997685,3.55689,NA,5.3314425,4.495175,6.20854,5.41888,3,5.05698,7.42558,NA,NA,35.1737,30.427135,NA,NA,105.93819,59.61725,NA,NA,9.7855,NA,86.938565,54.692655,NA,23.54853,11.037775,NA,27.74285,NA,NA,6.62207,27.791025,NA,10.587965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.336015,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.35776,NA,NA,22.0053,NA,NA,NA,NA,NA,NA,NA,NA,21.831515,NA,27.453395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.73756,NA,165.371355,NA,58.84396,NA,NA,21.9921,29.600035,NA,NA,48.631755,26.8824,NA,NA,8.616325,NA,18.833245,NA,NA,10.54671,NA,NA,9.530415,NA,NA,18.98876,NA,NA,NA,5.2346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04398,NA,NA,NA,NA,21.0149,NA,19.298205,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3351,NA,NA,NA,NA,NA,21.066615,75.988465,30.00882,NA,44.481855,NA,32.98612,39.837865,45.66487,213.03183,NA,281.006305,93.69844,27.75093,33.356325,50.44651,20.92659,7.86459,35.825285,NA,14.515655,NA,45.876125,NA,12.763935,NA,31.881855,111.280785,NA,NA,NA,47.839255,NA,51.26593,NA,NA,NA,NA,73.620725,87.71486,48.39538,19.57434,28.693975,NA,NA,NA,NA,NA,NA,NA,85.014175,63.30178,32.91039,18.084885,7.82471,14.05486,16.3146,9.14599,22.727115,12.053985,5.24703,10.39356,69.541955,40.7271,13.392255,59.434355,60.87271,31.817635,73.77714,42.33809,44.135995,29.43499,40.135245,28.66959,277.05445,108.182885,100.736165,79.14133,42.39733,70.27728,54.02526,41.9527,12.46748,26.779245,67.281755,47.734965,15.68925,17.82899,30.92334,62.42455,31.714585,20.33935,48.2294,82.62865,29.76155,89.151185,39.332935,96.629095,26.014055,53.489345,22.909595,41.02991,37.446335,89.598445
