Location,region,measureid,fractionid,2022-12-22,2022-12-26,2023-01-02,2023-01-05,2023-01-09,2023-01-12,2023-01-16,2023-01-19,2023-01-23,2023-01-26,2023-01-30,2023-02-02,2023-02-09,2023-02-13,2023-02-16,2023-02-21,2023-02-23,2023-02-27,2023-03-02,2022-06-13,2022-06-16,2022-06-20,2022-06-23,2022-06-27,2022-06-30,2022-07-04,2022-07-07,2022-07-11,2022-07-14,2022-07-18,2022-07-25,2022-07-28,2022-08-04,2022-08-08,2022-08-09,2022-08-11,2022-08-15,2022-08-18,2022-08-22,2022-08-25,2022-08-29,2022-09-01,2022-09-06,2022-09-08,2022-09-12,2022-09-15,2022-09-20,2022-09-22,2022-09-26,2022-09-29,2022-10-03,2022-10-06,2022-10-11,2022-10-13,2022-10-17,2022-10-20,2022-10-24,2022-10-27,2022-10-31,2022-11-03,2022-11-07,2022-11-10,2022-11-14,2022-11-17,2022-11-21,2022-11-24,2022-11-28,2022-12-01,2022-12-05,2022-12-08,2022-12-12,2022-12-15,2022-12-19,2022-12-29,2023-02-06,2023-03-06,2023-03-09
Fredericton,Fredericton,covN2,solid,17.217385,21.049595,164.863445,20.377755,73.27517,4.446335,42.590165,14.98811,140.12528,65.5212,105.5728,57.86744,93.34347,152.645055,79.511575,58.426735,30.803725,13.767625,15.417935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moncton,Moncton,covN2,solid,30.3041,NA,NA,38.568195,27.471445,106.704285,16.203355,8.166975,23.36221,22.58266,23.28119,29.48208,47.28773,21.381875,35.28876,25.60732,31.15396,55.31187,33.163865,5.22859,40.92609,11.66709,14.54163,17.747325,66.345385,29.98502,14.88833,100.02053,108.354845,50.447395,21.36995,15.549605,17.067845,35.818375,12.784665,15.1989,3,8.120755,169.8533,41.15958,66.809825,28.96786,11.52628,32.996745,8.04983,30.572185,11.331315,13.57282,8.528705,3,5.98861,9.301965,25.6623,60.42369,65.31753,11.435635,21.04328,22.3845,12.419705,31.306675,53.07524,143.41625,5.05513,11.518045,30.09502,40.28089,205.54718,59.03096,30.29937,71.409615,132.55674,56.07218,18.6203,28.678025,24.85193,37.99251,44.29562
