Location,region,measureid,fractionid,2021-01-05,2021-01-06,2021-01-07,2021-01-10,2021-02-11,2021-02-14,2021-02-16,2021-02-18,2021-02-22,2021-02-23,2021-02-25,2021-02-28,2021-03-02,2021-03-04,2021-03-07,2021-03-09,2021-03-11,2021-03-14,2021-03-16,2021-03-18,2021-03-21,2021-03-23,2021-03-25,2021-03-28,2021-03-30,2021-04-01,2021-04-04,2021-04-06,2021-04-08,2021-04-11,2021-04-13,2021-04-15,2021-04-18,2021-04-20,2021-04-22,2021-04-25,2021-04-27,2021-04-29,2021-05-02,2021-05-04,2021-05-09,2021-05-11,2021-05-16,2021-05-18,2021-05-23,2021-05-25,2021-05-30,2021-06-01,2021-06-06,2021-06-10,2021-06-13,2021-06-15,2021-06-20,2021-06-22,2021-06-27,2021-06-29,2021-07-04,2021-07-06,2021-07-11,2021-07-15,2021-07-18,2021-07-20,2021-07-25,2021-07-27,2021-08-01,2021-08-03,2021-08-08,2021-08-10,2021-08-15,2021-08-17,2021-08-22,2021-08-24,2021-08-29,2021-09-12,2021-09-14,2021-09-19,2021-09-21,2021-09-26,2021-09-28,2021-10-03,2021-10-05,2021-10-10,2021-10-12,2021-10-17,2021-10-19,2021-10-24,2021-10-26,2021-10-31,2021-11-02,2021-11-07,2021-11-09,2021-11-14,2021-11-16,2021-11-21,2021-11-23,2021-11-28,2021-11-30,2021-12-05,2021-12-07,2021-12-12,2021-12-14,2021-12-19,2021-12-21,2021-12-26,2021-12-28,2022-01-02,2022-01-04,2022-01-09,2022-01-11,2022-01-16,2022-01-18,2022-01-23,2022-01-25,2022-01-30,2022-02-01,2022-02-06,2022-02-08,2022-02-13,2022-02-15,2022-02-20,2022-02-22,2022-02-27,2022-03-01,2022-03-06,2022-03-08,2022-03-13,2022-03-15,2022-03-20,2022-03-22,2022-03-27,2022-03-29,2022-04-03,2022-04-05,2022-04-10,2022-04-12,2022-04-17,2022-04-19,2022-04-24,2022-04-26,2022-05-01,2022-05-03,2022-05-08,2022-05-10,2022-05-15,2022-05-17,2022-05-22,2022-05-24,2022-05-29,2022-05-31,2022-06-05,2022-06-07,2022-06-12,2022-06-14,2022-06-19,2022-06-21,2022-06-26,2022-06-28,2022-07-03,2022-07-05,2022-07-10,2022-07-12,2022-07-17,2022-07-19,2022-07-24,2022-07-26,2022-08-01,2022-08-02,2022-08-07,2022-08-09,2022-08-14,2022-08-16,2022-08-21,2022-08-23,2022-08-28,2022-08-30,2022-09-01,2022-09-02,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-18,2022-09-21,2022-09-22,2022-09-23,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-16,2022-10-17,2022-10-18,2022-10-20,2022-10-21,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-30,2022-10-31,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-13,2022-11-15,2022-11-20,2022-11-22,2022-11-27,2022-11-29,2022-12-04,2022-12-06,2022-12-11,2022-12-13,2022-12-18,2022-12-20,2022-12-25,2022-12-27,2023-01-01,2023-01-03,2023-01-08,2023-01-10,2023-01-15,2023-01-17,2023-01-22,2023-01-24,2023-01-29,2023-01-31,2023-02-05,2023-02-07,2023-02-12,2023-02-14,2023-02-19,2023-02-21,2023-02-23,2023-02-28,2023-03-05,2023-03-07,2023-03-12,2022-07-31,2022-08-15,2020-11-05,2020-11-09,2020-11-12,2020-11-16,2020-11-19,2020-11-23,2020-11-26,2020-11-30,2020-12-03,2020-12-06,2020-12-08,2020-12-10,2020-12-13,2020-12-15,2020-12-17,2020-12-20,2020-12-21,2020-12-22,2021-01-12,2021-01-14,2021-01-17,2021-01-21,2021-01-28,2021-01-31,2021-02-02,2021-02-04,2021-02-07,2021-02-09
Toronto Ashbridges Bay,Toronto,covN2,solid,145.86941,163.470215,221.12673,142.812065,33.23802,4.947555,26.05052,26.93305,28.171235,13.819705,25.195415,29.58537,16.95743,12.94405,17.611645,20.11962,15.772875,25.24478,47.542815,60.84604,44.247735,53.144775,69.626005,18.92823,54.951845,72.99414,93.26198,81.934395,93.35591,70.83615,33.785555,81.04759,40.166695,88.29605,77.59116,84.236775,91.013535,73.085115,50.24524,44.42932,62.67583,56.21749,54.5664,39.15147,12.34517,8.48427,23.95919,9.85071,10.17424,9.743605,5.45074,7.66417,1,8.734395,6.52085,3,3,4.37508,4.373745,3,3,4.4642,4.47653,3.86416,3.58157,8.85116,16.740005,26.3555,27.45862,42.97881,15.08834,6.383545,108.35929,28.654625,18.503715,11.956575,11.837875,5.71081,16.056065,8.527785,8.78157,3.64338,9.11186,14.02223,8.593545,5.547365,4.680625,3,44.715965,10.031535,9.29169,4.6348,3.6104,7.00398,7.481495,10.748245,7.1514,22.133875,12.748125,24.03042,55.61494,121.03295,125.1868275,263.618565,391.721495,480.64194,229.56702,297.759795,290.413385,259.32625,384.768425,118.311825,101.147735,43.827055,22.457835,26.381465,18.1117,10.084185,27.309865,8.347535,9.14592,63.998965,8.034015,11.346125,19.617,19.506215,18.60677,18.596465,40.52133,56.955845,26.178035,37.6463,92.38159,52.256315,74.049785,156.040305,82.758585,120.71146,110.380515,35.582405,76.32747,35.36232,26.391655,88.936545,31.99149,27.50838,70.85572,56.47446,43.849365,125.699855,48.224225,21.235455,19.35147,21.13759,8.275325,24.670705,63.49744,15.515725,36.191745,28.00901,136.6133,160.81728,204.539235,91.5315,46.083935,12.89725,31.84027,18.250635,35.17358,38.53805,17.601875,8.709585,16.688115,33.847615,81.556915,80.99966,64.132625,47.243295,85.69888,29.0371,73.138245,120.38561,57.74758,28.558065,21.330775,21.378345,19.90378,11.92599,10.800725,24.67138,31.03702,16.890735,13.852225,25.14226,19.5088,18.26522,21.321395,25.350895,12.258815,44.76624,39.016175,151.998025,64.711045,61.371125,75.325375,74.68107,101.230265,80.338495,156.16022,59.668315,79.3747975,86.519175,102.574945,48.80864,387.71162,49.903145,33.643435,70.634795,75.718515,223.828055,68.5537,33.98368,577.09706,92.04629,32.925835,28.573995,28.374695,40.873115,50.62168,76.85951,26.734515,32.76623,19.072645,153.281435,101.364615,49.1917,25.97051,43.028875,35.914365,154.707785,61.23865,60.605,91.69102,92.89859,77.739825,242.442005,89.586025,48.928115,72.53749,60.69168,53.000695,74.62186,43.11472,45.4192,46.29016,90.287945,41.960965,82.26767,31.630475,48.758215,64.2645,53.307365,37.050175,67.066425,101.642605,24.078085,77.09282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Highland Creek,Toronto,covN2,solid,NA,NA,NA,NA,32.71126,NA,28.145275,5.610275,10.307065,31.860865,40.81594,51.22801,14.799885,42.61579,39.57812,21.57536,68.931865,69.06574,40.80051,143.711035,91.10547,133.55231,226.809675,59.82398,110.229765,166.51504,168.82627,131.20148,253.04235,458.4936,166.19406,280.037615,206.426785,256.135505,405.448245,162.269245,127.571185,170.359765,145.223775,178.906675,59.3734,51.179385,71.29757,142.327715,183.30534,26.215125,30.046545,32.22333,9.139805,22.430075,11.242655,14.21554,8.56331,11.143835,5.878875,3,3,3,5.05139,3,11.05836,4.8607,4.49431,41.81677,3,12.569405,7.365705,16.774775,22.25087,26.970555,20.04947,15.323515,13.673635,25.08904,19.36129,12.40155,55.097015,12.763525,13.541945,6.051175,15.32536,4.32642,4.22351,10.670645,11.687315,6.11532,8.729575,5.388795,11.790945,4.75287,23.15554,9.50349,20.93183,10.07322,21.50683,18.537035,NA,9.666575,10.896205,18.056675,38.3254,NA,104.1668775,162.01382,476.739815,1622.885535,328.141955,772.11604,694.97881,283.145865,NA,400.611685,68.867055,NA,24.765115,NA,17.64649,NA,NA,NA,6.971345,NA,22.24958,16.84365,14.8561,8.765535,83.034065,10.71559,13.612015,55.879115,91.831715,79.36527,162.80134,143.148705,385.16324,131.53637,217.465985,260.04554,292.694205,282.343275,219.38598,104.42719,87.243125,265.27805,NA,34.80944,66.947225,69.324585,141.487095,225.00599,147.283375,15.68744,12.608685,65.126685,25.040685,70.53676,102.152245,152.011595,211.140735,68.164015,117.13628,165.99765,150.31676,80.402615,208.13086,NA,42.736925,17.47082,30.85848,NA,30.08776,30.42533,28.642,51.50282,20.13241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.224205,46.000325,NA,NA,14.98194,NA,29.260375,NA,NA,NA,81.390045,NA,81.819265,NA,NA,NA,62.63024,NA,244.094665,NA,NA,NA,194.053265,NA,NA,NA,NA,150.875775,NA,117.067025,NA,NA,NA,92.49681,NA,488.819745,NA,NA,NA,50.58194,NA,37.678135,NA,NA,NA,103.8226,54.363875,102.482995,111.05952,48.86744,234.488755,26.54204,53.978395,394.05036,90.865355,145.81158,192.054745,127.462305,143.389735,249.67717,82.804405,59.827515,340.02299,148.172625,89.88274,79.622895,56.932555,32.625075,77.01003,26.4281,90.975235,18.480855,60.539275,45.83577,86.79135,93.814685,90.643535,24.096755,41.12376,158.767455,60.157155,27.508515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Humber,Toronto,covN2,solid,NA,NA,NA,NA,95.93479,36.64155,44.79612,53.86268,81.717485,24.97629,34.279435,35.281335,21.9509,26.350035,20.68634,23.08797,52.32764,30.685735,45.42804,54.826355,52.26899,284.131625,90.708255,51.269715,83.12625,93.68147,188.564615,89.88044,124.95829,78.946735,66.67475,159.522785,79.34573,748.853775,291.307385,740.456735,125.53755,160.9487,98.785795,431.290255,106.499445,95.056775,47.321525,111.844545,14.5462,43.246565,56.583025,41.820985,8.69263,4.22384,32.371735,39.14328,6.971045,5.80763,5.77407,3,3,50.81085,3,5.71328,8.449255,8.933385,9.167145,NA,10.12524,16.619565,12.61287,13.957655,63.85486,30.688875,22.116855,22.156575,15.91445,19.01247,17.599,36.40238,30.513045,19.149115,16.93657,18.230095,13.378355000000001,6.43578,7.581225,11.050725,11.313605,4.79196,5.62128,8.95971,8.96283,3,52.189205,4.21402,6.70392,11.617565,19.38273,140.516475,19.58492,16.609085,30.76339,86.88839,29.952295,282.90242,104.3342375,210.423665,319.357385,495.10117,589.523245,727.3128,559.64763,266.37939,480.67682,130.33795,53.817675,21.035505,25.417955,12.454315,13.00342,14.77247,7.579085,40.440075,11.640505,7.23692,10.268565,7.424975,10.953175,6.11221,15.04289,5.68948,19.20709,45.793475,33.976675,32.21448,135.75211,249.95113,115.43424,218.883175,177.667895,115.884175,87.63173,132.09187,74.00022,47.13285,36.680395,42.613335,35.37048,34.694545,51.764735,36.39457,127.91854,161.08788,143.50079,18.804505,81.25521,18.17404,20.450745,71.21749,96.035985,85.265475,36.637965,79.73568,127.3851,216.66334,200.63825,47.05876,184.95505,15.06968,25.54993,20.296865,16.24264,18.10821,34.35674,101.448825,22.23907,31.77676,60.390885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.177075,39.310255,NA,NA,41.229655,NA,28.862955,NA,NA,NA,23.37267,NA,81.93389,NA,NA,NA,146.277915,NA,179.598495,NA,NA,NA,186.28041,NA,81.27903,NA,NA,69.012885,NA,111.220085,NA,NA,NA,43.265860000000004,NA,436.556585,NA,NA,NA,27.81192,NA,213.941765,NA,NA,NA,50.697455,12.12719,41.12328,65.50456,31.29173,122.886925,153.539435,181.676015,69.401005,66.91557,169.72118,84.146475,102.739225,310.422665,332.626555,256.219065,312.006575,311.97769,47.1049,33.996745,50.769745,67.25569,14.659715,123.693925,44.03458,317.170375,38.13532,64.24991,27.475755,51.992195,29.203845,47.67841,13.950115,83.96033,4.27558,NA,NA,48.94275,62.25407,9.987685,42.97627,6.515425,12.8421,64.294705,23.91041,141.79311,65.865235,60.066935,64.01506,168.184215,97.383555,186.61843,63.723295,68.694315,91.090805,111.45349,105.106005,131.20891,78.70338,150.87963,118.212,83.11137,69.025585,28.77094,88.813095
Toronto North Toronto,Toronto,covN2,solid,NA,NA,NA,NA,31.51935,13.39593,7.47974,9.11874,6.11767,5.768045,8.71097,8.88565,3.99218,4.67465,5.64937,12.233225,16.7224,42.267745,30.973105,93.05467,28.969325,108.168675,57.97894,32.104175,31.192015,28.006835,113.95689,30.670255,79.347735,104.348025,19.209045,40.128505,35.990045,82.579305,168.78151,77.30338,55.429045,81.90766,29.94819,39.40437,33.086215,17.080995,16.403115,26.165325,7.75555,11.05779,4.39165,6.553795,3,27.5042,3,1,3,3,6.06002,3,3,1,1,1,3,1,1,3,3,3,10.67155,15.157395,27.460745,12.6278,7.255275,14.51809,6.87594,29.473655,48.826235,11.497425,14.142505,16.12866,9.99665,6.31904,6.079835,7.86507,9.233695,17.48891,6.62507,5.7261,3,9.93369,3,3,8.0253,4.29586,3,6.139465,9.832005,9.50894,7.37545,29.810875,25.650555,36.563685,52.53866,58.27335,93.9656725,223.14025,137.586355,792.29754,191.83714,480.19596,168.88587,357.69836,199.417175,83.016925,30.15753,10.734755,14.74993,13.73731,14.516025,24.371635,18.47839,6.59449,10.88906,8.59996,10.039745,14.5889,20.621685,13.33059,23.135705,6.91453,15.023595,67.20345,33.07935,59.91491,163.894085,36.86889,69.013245,61.911115,176.41222,131.82606,24.956595,102.880385,55.92328,98.161215,33.709755,71.93583,20.568685,72.812215,120.33033,87.282375,45.5091,204.111335,108.953955,12.3721,22.82729,15.58748,21.779005,39.481265,71.98105,94.91164,54.13814,41.725695,256.58971,260.23661,71.565135,21.36363,68.41734,33.826335,53.23669,11.01107,20.907535,35.675305,91.96153,52.087955,38.828035,30.66212,35.243865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.59955,22.84732,NA,NA,47.897065,NA,44.81342,NA,NA,NA,11.0547,NA,31.71538,NA,NA,NA,108.45634,NA,63.965685,NA,NA,NA,110.965935,NA,169.29816,NA,NA,55.32762,NA,40.8153,NA,NA,NA,99.596565,NA,NA,NA,NA,NA,22.90747,NA,34.477855,NA,NA,NA,17.16631,19.751075,20.75194,96.660585,40.28742,14.678965,28.037735,179.2628,159.32455,46.659275,73.148095,63.35633,34.67805,140.06354,490.34929,75.284115,109.53641,92.891855,76.209115,178.47946,33.325395,27.247445,64.155705,145.79463,57.882035,93.43783,126.68245,78.023365,23.06969,49.980695,27.497845,43.717035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
